title,company,location,link
Data Analyst,"Miso, inc",서울,https://kr.indeed.com/viewjob?jk=4a94f2401f999ab6
"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d1e75364ef505c68
기업부설연구소 블록체인 프로그래머 경력자,케이포시큐리티,서울 구로구,https://kr.indeed.com/viewjob?jk=5f8e5223dee07bb5
Technical Trainer - Amazon Web Services,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=f044d9361c664f80
[경력] 빅데이터 플랫폼 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=61ecdc0ef3cfb66a
데이터 분석 및 지표 구축,아프리카TV,성남 분당구,https://kr.indeed.com/viewjob?jk=1d95b1dac345f2ca
Client Solutions Engineer,Cover Genius,서울,https://kr.indeed.com/viewjob?jk=9ec6ee8ffbdef537
모바일 보안,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=fa32e47d04a9f932
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=48090bdf1303bd76
"컨설팅회사 분야별(PMO,PI,ISP, Data Analytics등)컨설턴트 포지션 asap",글로벌 메이저 컨설팅회사,서울 여의도역,https://kr.indeed.com/viewjob?jk=25432db13648cddc
콘텐츠서비스개발팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b35da47f5e84c9b4
데스크탑 가상화(VDI) 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=530a598184580c95
[멜론] 빅데이터 서비스 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=3e2a310c9dd0f693
Solutions Architect - Amazon Connect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=5c6723a17ad467f6
HTA Excellence Manager,Roche,서울,https://kr.indeed.com/viewjob?jk=165a96a7cde2883a
Technical Writer,SendBird,서울,https://kr.indeed.com/viewjob?jk=e5c63f4e86ceefda
Cloud Infrastructure Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=d9470ee259f7457b
Data Engineer,고도소프트,서울 구로구,https://kr.indeed.com/viewjob?jk=68ee194a9d487aac
분석실 - 베이지안 분석 전문가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=19b44e0d17d112e2
Senior Specialist Consultant - AI/ML,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=b51ca785a45edf17
웹 프론트엔드 개발,(주)로켓츠게임즈,안양 동안구,https://kr.indeed.com/viewjob?jk=ec013d07353abed4
Sales Manager (Born in the Cloud),Hewlett Packard Enterprise,서울,https://kr.indeed.com/viewjob?jk=1b68be0d8cba9f3e
TECH U Associate Solutions Architect - 2020 Korea,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=d66914db200312e0
카카오톡 서버 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=21f720e55bab4c8d
Field Service Engineer,Novetta,서울,https://kr.indeed.com/viewjob?jk=aefb647f9116ad28
Front-end Developer,"Miso, inc",서울,https://kr.indeed.com/viewjob?jk=9f7d7cbe5e172a01
Research Engineer - Machine Learning,AITRICS,서울,https://kr.indeed.com/viewjob?jk=05ce3c7d5c6c368c
Sr. Data Architect - Data Lakes & Analytics,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=39834f5337a56072
Lead Application Backend Developer – Mobile,BOEING,서울,https://kr.indeed.com/viewjob?jk=8624753c574a9d25
Back-end Engineer,Terra,서울,https://kr.indeed.com/viewjob?jk=f915f667e4052f91
Back-end Developer,"Miso, inc",서울,https://kr.indeed.com/viewjob?jk=80d3108dade97b0f
퍼포먼스 마케터 (SA 중심),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=08ac4426aa2a7bed
경험최적화파트 - 머신러닝 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=7bf179a290a157b2
인프라 플랫폼 개발자,NHN godo,서울 구로구,https://kr.indeed.com/viewjob?jk=c8a7c9c4022a3544
Senior Data Scientist - AWS Professional Services,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=37da5b148b2d3ef4
[반도체IP 기업] Video Codec - RTL Design/Verification (Jr/Sr급),커리어라임즈,서울,https://kr.indeed.com/viewjob?jk=03735fec539136dd
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d
Tech Business Analyst (Search and Discovery Analytics),Coupang,서울,https://kr.indeed.com/viewjob?jk=8d0b3a79363b5a69
SAP Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=1a5cda61b51c21b7
Software Engineer - Back-end Web,SendBird,서울,https://kr.indeed.com/viewjob?jk=615168b399422305
농업생명과학대학 농생명과학공동기기원 연구원,서울대학교,서울 관악구,https://kr.indeed.com/viewjob?jk=08c514571da3f021
링크샵스 플랫폼 개발 및 유지보수 담당,링크샵스,서울 중구,https://kr.indeed.com/viewjob?jk=a6d0f0030a9ad230
"Senior, Database Engineer (Storage Platform)",Coupang,서울,https://kr.indeed.com/viewjob?jk=5a0b53c0cc23d9a7
배민장부 서버 개발자,우아한 형제들,서울 송파구,https://kr.indeed.com/viewjob?jk=b7b9c8b9adba8653
카카오 전체의 사용자 플랫폼 만들 서버개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=6d479593b544fa68
Sr. Back-end Engineer (Query Understanding),Coupang,서울,https://kr.indeed.com/viewjob?jk=0df2999925f12355
서울 강남구 인썸니아 시니어 개발자 및 퍼블리셔,인썸니아,서울 서초구,https://kr.indeed.com/viewjob?jk=6c1d50662fa2d7f7
"Technical Design Architect, South Korea",Pure Storage,서울,https://kr.indeed.com/viewjob?jk=1124955926b2559b
경력사원 수시,두산 정보통신,서울,https://kr.indeed.com/viewjob?jk=7adfd2b51f057d3a
() Automotive 반도체 연구 개발 및 지원(FAE) 업무 - 상시 중,넥스트칩,성남 분당구,https://kr.indeed.com/viewjob?jk=b8e67dbfa474f096
대기업 DBA 경력자 채용 (대리과장급),차량IT 전문 기업 (대기업),서울,https://kr.indeed.com/viewjob?jk=2f440d08c013f03d
"Senior, Software Engineer (Recommendations)",Coupang,서울,https://kr.indeed.com/viewjob?jk=90d6728c4bee5b37
이상탐지팀 - 서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e787fde04b998e1a
"Principal, Business Analyst (Site Merchandising)",Coupang,서울,https://kr.indeed.com/viewjob?jk=7d61ad4e8b48d8aa
Customer Facing Data Scientist,Ever Better Recruitment (EBR),서울,https://kr.indeed.com/viewjob?jk=b06176c3a7092e0a
2020 상반기 - 정보기획팀 팀원,재단법인 아름다운가게,서울 중구,https://kr.indeed.com/viewjob?jk=de3e0351f0b9d2df
핑크퐁 애니메이션 제작실 채용,스마트스터디,서울 서초동,https://kr.indeed.com/viewjob?jk=3dfef7947760ac10
Senior Robotics Software Engineer,BearRobotics,서울,https://kr.indeed.com/viewjob?jk=4eca878de9cc08d8
인프라 플랫폼 개발자,고도소프트,서울 구로구,https://kr.indeed.com/viewjob?jk=2b1c5b35b97700fc
데이터 분석가 / Business Analyst,Bagelcode,서울,https://kr.indeed.com/viewjob?jk=f10477b81840d778
"Principal, Data Engineer (EDW Data Processing)",Coupang,서울,https://kr.indeed.com/viewjob?jk=f79f6cd3e91fcc1a
서버개발(응용프로그램개발) 정직원,인포카,서울 성북구,https://kr.indeed.com/viewjob?jk=56fce3a492ad940b
비즈니스 분석가(Business Analyst) 영입,카카오페이,성남 백현동,https://kr.indeed.com/viewjob?jk=c2c1ab0ed507c4e2
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/viewjob?jk=c1037225077ca4da
[신입] 웹기반 응용프로그램 개발자 신입인재,블록체인글로벌,서울 영등포구,https://kr.indeed.com/viewjob?jk=729483f5644b6d3b
"Senior, Software Engineer (Search Quality Assurance)",Coupang,서울,https://kr.indeed.com/viewjob?jk=7a08f5e589b10a00
[수시] ESTsecurity 서버 백엔드 개발 (경력),이스트소프트,서울 서초구,https://kr.indeed.com/viewjob?jk=4baef3431a39f0c4
[수시] ESTsecurity 웹프론트 개발 (경력),이스트소프트,서울 서초구,https://kr.indeed.com/viewjob?jk=bfee747ee084b019
금융대기업 Data Scientist 채용 (선임~수석),금융대기업,서울,https://kr.indeed.com/viewjob?jk=57eb792f16ab3601
데이터인프라개발팀 - 데이터 플랫폼 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=d57b19564ea05138
카카오톡 신규 서비스 서버 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=de210ffb5a9ee0c4
데이터 사이언티스트 지향하는 데이터 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=385c58c7ced1d77b
멜론 서비스 데이터 분석 및 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=8f0dfcd582982dcb
검색서비스 서버 개발 신입/경력,포티투마루,서울 봉천동,https://kr.indeed.com/viewjob?jk=e010f7780d479126
Enterprise Sales Engineer - South Korea,Datadog,서울,https://kr.indeed.com/viewjob?jk=e463478ee10a450d
대기업 검색엔진 개발 (대리과장급),차량IT 전문 기업 (대기업),서울,https://kr.indeed.com/viewjob?jk=9eeeffa9f171f32b
Sales Manager (스타트업 관련 경력자),한국휴렛팩커드,서울 여의도,https://kr.indeed.com/viewjob?jk=0ec62093318ddde0
데이터분석가(게임어뷰징 탐지),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=ea3b136c0ff59524
Tech U Associate Professional Services Consultant - 2020 Korea,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=881a1aa0f0646335
데이터플랫폼실 - Software Engineer,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=6ecc8058c1538843
AI Algorithm Developer,펄핏,서울 강남구,https://kr.indeed.com/viewjob?jk=88b7dece067cd1c6
Cloud Security Engineer,SendBird,서울,https://kr.indeed.com/viewjob?jk=9a44a1a18ab4635c
글로벌&모바일 플랫폼 운영을 담당할 를 합니다.,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=281fb1cb3dff0cf8
Full Stack Developer,"Miso, inc",서울,https://kr.indeed.com/viewjob?jk=754348a9c3f08d66
Senior Back-end Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=27352452ed0a0ea9
React Native Developer,"Miso, inc",서울,https://kr.indeed.com/viewjob?jk=315c65b8337d3e7a
오픈소스 엔지니어 영입,카카오페이,성남 백현동,https://kr.indeed.com/viewjob?jk=34476fc1bc0bb748
"Partner Solutions Architect III, Analytics Specialist",Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=7a837beac7ac8bcd
AI(인공지능) 개발자,휴먼디지털,서울,https://kr.indeed.com/viewjob?jk=d498993697237b33
Solutions Architect III - AWS Korea,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=8fc5722cb9223fea
[링크업] 글로벌 ERP회사인 Odoo 웹 개발자.,링크업,서울 마포구,https://kr.indeed.com/viewjob?jk=97cbec2398519f10
